                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2448,                0.86398,                 1.1236,                0.64627,                0.78583,                0.72357,                 0.4439,                 1.3774,                 1.2864,                  1.295,               0.006733,               0.006733,               0.006733
                     35,                 1.2785,                0.88805,                 1.1529,                0.61948,                0.78446,                0.71483,                0.42561,                  1.405,                 1.2905,                 1.3063,               0.006634,               0.006634,               0.006634
                     36,                 1.2691,                0.85323,                 1.1258,                0.69398,                0.75364,                0.69292,                  0.398,                 1.5088,                 1.3817,                 1.3639,               0.006535,               0.006535,               0.006535
                     37,                 1.1598,                0.83192,                  1.115,                0.62814,                0.75977,                0.70796,                0.38037,                  1.619,                 1.3203,                 1.3912,               0.006436,               0.006436,               0.006436
                     38,                 1.2942,                0.84765,                 1.1212,                0.69514,                0.71736,                0.70554,                0.41982,                 1.5235,                 1.2874,                 1.3872,               0.006337,               0.006337,               0.006337
                     39,                 1.2599,                0.86859,                 1.1182,                0.63635,                0.79598,                0.69299,                0.39448,                   1.43,                 1.2625,                 1.3416,               0.006238,               0.006238,               0.006238
                     40,                   1.22,                0.81975,                 1.0914,                 0.6323,                 0.7757,                0.73467,                 0.4158,                 1.4925,                  1.256,                 1.3798,               0.006139,               0.006139,               0.006139
                     41,                  1.218,                0.82101,                   1.08,                0.71341,                0.76245,                0.72425,                 0.4067,                 1.4982,                 1.2152,                 1.3661,                0.00604,                0.00604,                0.00604
                     42,                 1.2125,                0.82384,                 1.0919,                0.65377,                 0.7497,                0.73146,                0.40858,                 1.5095,                 1.2074,                 1.3453,               0.005941,               0.005941,               0.005941
                     43,                 1.1541,                0.80545,                 1.1156,                 0.6166,                0.87836,                0.72413,                0.40719,                 1.5261,                 1.2135,                 1.3554,               0.005842,               0.005842,               0.005842
                     44,                 1.1431,                0.80147,                 1.0556,                0.62176,                0.85821,                0.74464,                0.39584,                 1.6231,                 1.2387,                  1.418,               0.005743,               0.005743,               0.005743
                     45,                 1.2207,                0.77879,                 1.0897,                0.64473,                0.77973,                0.74637,                0.41806,                 1.5449,                 1.3296,                 1.3681,               0.005644,               0.005644,               0.005644
